ordem_coluna,variavel,classe_r,tipo_r,nivel_conceitual,unidade,origem,descricao,cuidado_interpretativo
1,id_escola,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv | variacao_escola_serie_com_qualidade.csv,Identificador longitudinal interno e estável da escola.,
2,codigo_inep,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv | variacao_escola_serie_com_qualidade.csv,"Código INEP associado à escola, mantido como texto.",
3,codigo_inep_valido,logical,logical,"escola, repetida na base escola × série",não aplicável,derivada no módulo 15,Indica se o código INEP possui exatamente oito dígitos.,
4,nome_canonico,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv | variacao_escola_serie_com_qualidade.csv,Nome padronizado da escola adotado no projeto.,
5,nome_vinculo_original,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável nome vinculo original. Consulte a origem e o módulo de criação para definição operacional.,
6,chave_nome,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável chave nome. Consulte a origem e o módulo de criação para definição operacional.,
7,assessora,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv | variacao_escola_serie_com_qualidade.csv,Vínculo administrativo original entre escola e assessora.,"Vínculo administrativo; não representa qualidade, intensidade ou efeito do trabalho."
8,assessora_gerencial,character,character,"escola, repetida na base escola × série",não aplicável,derivada no módulo 15,"Versão gerencial do vínculo, com categoria explícita para ausência de informação.","Vínculo administrativo; não representa qualidade, intensidade ou efeito do trabalho."
9,ano_escolar,integer,integer,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,"Ano escolar do Ensino Fundamental, de 1 a 5.",
10,componente,character,character,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Componente curricular analisado.,
11,painel_balanceado,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Indica presença da escola-série nos dois anos.,
12,painel_resultado_balanceado,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Indica disponibilidade de resultado nos dois anos.,
13,contexto_2024_encontrado,logical,logical,"escola, repetida na base escola × série",não aplicável,derivada no módulo 15,Indica disponibilidade do contexto estrutural pré-programa de 2024.,
14,amostra_principal_descritiva,logical,logical,escola × série,não aplicável,derivada no módulo 15,Resultado balanceado e contexto de 2024 disponível; não implica amostra causal.,
15,amostra_municipal_direta_2024,logical,logical,escola × série,não aplicável,derivada no módulo 15,Amostra principal restrita à rede municipal direta em 2024.,
16,amostra_municipal_ampliada_2024,logical,logical,escola × série,não aplicável,derivada no módulo 15,Amostra principal no universo municipal ampliado de 2024.,
17,amostra_rede_operacional_2025,logical,logical,escola × série,não aplicável,derivada no módulo 15,Amostra principal no universo operacional da rede em 2025.,
18,incluir_universo_municipal_direto_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável incluir universo municipal direto 2024. Consulte a origem e o módulo de criação para definição operacional.,
19,incluir_universo_municipal_ampliado_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável incluir universo municipal ampliado 2024. Consulte a origem e o módulo de criação para definição operacional.,
20,incluir_rede_municipal_operacional_2025,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável incluir rede municipal operacional 2025. Consulte a origem e o módulo de criação para definição operacional.,
21,grupo_administrativo_2024_final,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável grupo administrativo 2024 final. Consulte a origem e o módulo de criação para definição operacional.,
22,tipo_vinculo_rede_final,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo vinculo rede final. Consulte a origem e o módulo de criação para definição operacional.,
23,status_rede_2025_final,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável status rede 2025 final. Consulte a origem e o módulo de criação para definição operacional.,
