indicador,valor,natureza,universo,referencia_temporal
Escolas,56,Contagem,Institucional — 56 escolas,Censo Escolar 2024
Matrículas nos anos iniciais,20459,Contagem,Institucional — 56 escolas,Censo Escolar 2024
Turmas dos anos iniciais,869,Contagem,Institucional — 56 escolas,Censo Escolar 2024
Docentes dos anos iniciais,1299,Contagem,Institucional — 56 escolas,Censo Escolar 2024
Mediana de matrículas por escola,378,Mediana,Institucional — 56 escolas,Censo Escolar 2024
Média de estudantes por turma,23.417721518987342,Média ponderada,Institucional — 56 escolas,Censo Escolar 2024
Matrículas em tempo integral,18.48086416735911,Percentual ponderado,Institucional — 56 escolas,Censo Escolar 2024
Matrículas da educação especial,8.394210156505277,Percentual ponderado,Institucional — 56 escolas,Censo Escolar 2024
Índice médio de infraestrutura,90,Média,Institucional — 56 escolas,Censo Escolar 2024
Escolas com alerta de composição,52,Contagem,Institucional — 56 escolas,CAEd 2025–2026
