dimensao,componente,variavel_origem,sentido,peso_dimensao,justificativa,peso_no_indice_principal
volume,matriculas_anos_iniciais,matriculas_anos_iniciais,maior valor = maior carga,0.6,Representa o volume principal de estudantes potencialmente alcançados.,0.15
volume,turmas_anos_iniciais,turmas_anos_iniciais,maior valor = maior carga,0.25,Representa o número de unidades organizacionais e grupos escolares acompanhados.,0.0625
volume,amplitude_etapas_ofertadas,numero_etapas_amplas_ofertadas,maior valor = maior carga,0.15,Representa maior amplitude organizacional da unidade escolar.,0.0375
estrutural,infraestrutura_insuficiente,indice_infraestrutura_basica,menor valor = maior complexidade,0.3,Menor disponibilidade relativa de infraestrutura pode ampliar a necessidade de acompanhamento.,0.075
estrutural,pressao_alunos_por_turma,alunos_por_turma_anos_iniciais,maior valor = maior complexidade,0.2,Turmas relativamente maiores podem elevar a complexidade pedagógica e organizacional.,0.05
estrutural,pressao_alunos_por_docente,alunos_por_docente_anos_iniciais,maior valor = maior complexidade,0.15,Maior razão de estudantes por docente sinaliza pressão relativa sobre a oferta.,0.0375
estrutural,participacao_educacao_especial,pct_matriculas_educacao_especial,maior valor = maior necessidade potencial de coordenação,0.2,Maior presença relativa de estudantes da educação especial pode exigir articulação e apoio diferenciados; não representa déficit da escola ou dos estudantes.,0.05
estrutural,amplitude_tempo_integral,pct_matriculas_anos_iniciais_integral,maior valor = maior complexidade operacional,0.1,A oferta em tempo integral amplia a jornada e a organização cotidiana da escola.,0.025
estrutural,dependencia_transporte_publico,pct_matriculas_transporte_publico,maior valor = maior complexidade logística,0.05,Maior dependência de transporte público pode ampliar desafios logísticos de acesso e frequência.,0.0125
educacional,desempenho_relativo_2026,"proficiencia_media_2026 + pct_defasagem_2026, comparadas dentro da série",menor proficiência e maior defasagem = maior desafio,0.5,"Retrato relativo do desempenho observado em 2026, sem interpretação causal.",0.125
educacional,baixa_participacao_relativa_2026,"taxa_participacao_2026, comparada dentro da série",menor participação = maior desafio de cobertura,0.25,Participação reduzida limita a cobertura e condiciona a interpretação dos resultados.,0.0625
educacional,heterogeneidade_entre_series_2026,desvio do escore relativo de desempenho entre séries,maior dispersão = maior heterogeneidade,0.15,Trajetórias muito distintas entre séries podem demandar acompanhamento mais diferenciado.,0.0375
educacional,instabilidade_composicao_comparavel,mudanças relevantes de participação ou público previsto em séries comparáveis,maior proporção = maior cautela e monitoramento,0.1,Mudanças de composição condicionam comparações temporais; não representam piora educacional.,0.025
administrativa,arranjo_institucional_especial,grupo_administrativo_2024_final,arranjo distinto da rede municipal direta = maior complexidade,0.4,"Convênios, supervisão especial ou origem em outra dependência podem exigir articulação institucional adicional.",0.1
administrativa,transicao_institucional_recente,"municipalização, possível municipalização ou escola nova",presença = maior complexidade,0.3,"Transições recentes podem ampliar demandas de integração, informação e acompanhamento.",0.075
administrativa,historico_cadastral_ou_revisao,requer_revisao_tecnica ou divergencia_censo_cadastro,presença = maior complexidade,0.2,Histórico cadastral ou necessidade de revisão pode demandar atenção administrativa adicional.,0.05
administrativa,vinculo_assessoramento_nao_informado,ausência de assessora_gerencial informada,presença = maior complexidade,0.1,Ausência de vinculação administrativa explícita exige regularização gerencial.,0.025
